Time,Isosbestic,Fluorescence
163.994671,229.33,208.747
164.194673,229.391,208.832
164.394668,229.507,208.856
164.594666,229.404,208.845
164.794656,229.415,208.848
164.994658,229.558,208.941
165.194655,229.599,208.837
165.394649,229.532,208.749
165.594642,229.576,208.652
165.794639,229.481,208.65
165.994638,229.486,208.733
166.194636,229.688,208.801
166.394633,229.596,208.878
166.594627,229.647,208.902
166.794627,229.418,208.699
166.994621,229.504,208.597
167.194616,229.873,208.6
167.394617,229.669,208.742
167.594612,229.231,208.823
167.794608,229.643,208.78
167.994604,229.443,208.733
168.1946,229.5,208.722
168.394597,229.426,208.692
168.594595,229.645,208.945
168.794595,229.453,208.759
168.994589,229.575,208.875
169.19459,229.731,208.769
169.394586,229.471,208.693
169.594585,219.891,171.482
169.79458,175.326,169.727
169.994575,192.209,243.312
170.194574,148.638,120.207
170.394574,141.658,119.453
170.59457,330.991,233.346
170.794565,262.212,263.414
170.994564,329.231,227.78
171.194563,214.878,241.276
171.394558,213.479,183.595
171.594558,202.354,186.857
171.794553,194.609,197.374
171.994551,187.743,188.585
172.194544,205.497,175.945
172.394543,225.068,174.576
172.594543,215.471,189.257
172.79454,209.61,194.164
172.994535,206.852,188.096
173.194532,219.348,182.708
173.394527,221.814,183.346
173.594529,215.849,190.294
173.794528,209.496,191.465
173.994521,212.229,186.967
174.194517,216.122,183.342
174.394518,216.658,184.292
174.594512,212.207,184.662
174.794515,206.659,184.505
174.994512,208.858,182.677
175.194508,209.824,181.042
175.394502,214.104,183.593
175.594502,207.374,189.174
175.794501,230.717,204.842
175.994486,229.605,202.839
176.194477,228.944,200.627
176.394464,229.547,206.131
176.594453,235.054,206.617
176.794442,231.902,205.441
176.994435,230.517,205.955
177.194419,233.614,205.068
177.394408,232.515,205.842
177.5944,230.785,207.165
177.794389,230.904,206.22
177.994375,233.241,203.637
178.194367,235.205,202.879
178.394355,234.574,205.396
178.594343,230.676,209.591
178.794333,228.536,208.878
178.994318,232.177,202.159
179.194309,239.283,199.35
179.394302,237.729,203.98
179.59429,230.53,209.59
179.794279,229.417,205.92
179.994267,235.514,200.377
180.194256,238.79,201.347
180.39424,233.377,207.362
180.594229,229.022,208.573
180.794216,230.748,203.699
180.994206,236.511,200.893
181.194193,236.631,203.548
181.394183,230.941,208.924
181.594171,228.34,208.136
181.794161,231.8,203.241
181.994149,235.501,202.363
182.194137,233.518,206.07
182.394127,229.121,209.512
182.594114,228.625,206.918
182.794107,232.5,202.786
182.994094,235.726,202.313
183.194082,233.073,205.968
183.394068,229.426,208.64
183.594057,229.331,206.157
183.794048,233.17,202.36
183.994045,235.698,202.459
184.194043,232.845,206.102
184.394038,229.717,207.715
184.594033,229.98,205.317
184.794031,232.89,202.856
184.994024,234.055,202.73
185.194018,232.981,204.875
185.394017,230.885,206.725
185.594015,230.275,206.201
185.794006,231.332,204.129
185.994003,233.162,203.064
186.194003,232.896,204.218
186.393998,231.238,205.826
186.593994,231.311,204.87
186.793987,232.393,204.966
186.993987,231.759,205.577
187.193985,231.32,204.626
187.393968,232.009,203.833
187.593973,232.903,203.852
187.793974,231.937,206.05
187.993966,230.549,207.571
188.193967,229.165,206.206
188.393958,232.301,202.767
188.593953,235.785,203.152
188.793954,233.933,206.146
188.993946,230.962,207.984
189.193943,230.641,206.691
189.393943,233.029,203.61
189.593935,235.197,203.041
189.793936,233.344,205.663
189.993929,230.597,206.994
190.193925,230.557,205.849
190.393924,231.461,204.217
190.593922,232.916,203.569
190.793915,232.182,204.773
190.993911,230.759,205.641
191.19391,228.851,206.433
191.393905,232.188,203.779
191.593901,233.654,202.208
191.793894,233.707,203.654
191.993892,230.867,205.937
192.193884,228.836,206.052
192.393884,230.123,204.186
192.593878,232.973,203.511
192.79387,234.895,203.965
192.993868,233.987,207.258
193.19386,230.894,209.16
193.393851,225.722,200.655
193.59385,224.258,197.602
193.793843,229.362,198.645
193.993839,227.404,202.164
194.193833,224.067,203.934
194.393829,223.596,201.674
194.59382,226.754,197.541
194.793817,229.013,197.537
194.993807,228.59,200.64
195.193805,225.623,201.949
195.393799,224.492,200.452
195.593791,228.17,199.613
195.793785,232.557,200.803
195.993782,232.952,203.027
196.193774,229.391,201.009
196.393771,221.514,191.47
196.593763,211.897,177.753
196.793761,202.745,169.513
196.993753,198.004,169.842
197.193749,196.97,164.918
197.393746,167.018,134
197.593738,164.286,138.693
197.793736,167.87,140.498
197.993731,166.625,139.87
198.193726,167.538,142.785
198.393715,170.654,147.036
198.593709,174.942,150.457
198.793705,179.416,154.113
198.993699,182.645,160.872
199.193697,190.395,163.615
199.393691,187.631,159.545
199.593687,183.617,155.456
199.793677,181.446,154.9
199.993669,185.063,166.015
200.19366,188.087,147.857
200.393655,166.824,136.748
200.593643,158.158,125.399
200.793632,147.746,116.484
200.993622,137.822,108.69
201.193617,135.03,107.701
201.39361,133.922,107.03
201.593595,137.326,109.822
201.793591,136.348,110.943
201.993576,141.743,119.438
202.193568,148.849,122.342
202.39356,151.003,128.083
202.593555,169.918,169.27
202.793542,200.004,174.747
202.993537,201.074,172.943
203.193525,199.889,171.468
203.393516,197.977,163.257
203.593505,188.447,162.833
203.7935,191.633,165.027
203.993487,190.061,164.693
204.193478,189.797,165.936
204.39347,189.773,165.559
204.593462,194.232,170.083
204.793455,195.81,171.789
204.993446,198.515,175.265
205.193436,203.731,179.12
205.393424,210.415,183.931
